board_idx,InitialPuzzle,CompletePuzzle,BoardSize,ColorCount,NumberOfLines,v
2092,x6xxxxxx5xxxxxxxxx3xxxxx1xxxxxx4xxxxx2xx1x6x5432x,6622222652111265213126521312652431265243126554322,7,6,13,0.46153846153846156
1922,16xxxx37761xxxx43525xx4x2,1666613776135554352544422,5,7,12,0.5833333333333334
2434,5x4xxxxx1xxxxxxxx17xx2xxxxx5xxxxx836x2xxxxxxx3x4xxxxx8xxxxxxxx76,5544444415556664117562647775626478366264783333647888886677777776,8,8,23,0.34782608695652173
3325,xxx312x2xxxxxxxxxxxxx3xxxxxxxx1xxxxx,111312121312121312121312121112122222,6,3,9,0.3333333333333333
2913,6xxxx4xxxxxxxx1xxxx4xxxxx1xx3xxxxxxxxxxxxxxxxx32xxxxxxx27xxx5xxxxx7xx6xx5xxxxxxxx,666664444555561114544566614534555664534445564532244564527224564527724664522224444,9,7,34,0.20588235294117646
1664,35xxxx1x15xxxxxx2x32xxx44,3555531115322223233233344,5,5,11,0.45454545454545453
719,32xx11xx6xxxxx5x42xx4xxxxxxx5x36xxxx,322211366222365542364544364554364444,6,6,16,0.375
330,xx2x3xx1x2xx3xxxxx1xxxxxx,2223321132213322111222222,5,3,10,0.3
808,1xx252xxx4xxxxx5xxxx43xxxxxx3xxx1xxx,122252124452124552124332122232111222,6,5,14,0.35714285714285715
946,3x3xxx42xx4xxxxxxxxxx162x5xxxxxx1x56,333222422242444442111162155566111556,6,6,17,0.35294117647058826
2866,xx1xxxxx3xxxxxx5xxx75xxx3xxx6x4xxxxxxxxxxxx2xxxxx27xxxxx4xxxxxxxx6xxxxx1xxxxxxxxx,111777773177755573175553373164433773164337723164327223164322233166333331111111111,9,7,35,0.2
3342,1xxxxxxx3x24xxx2x3xxxxx1xxxx4xxxxxxx,144444143224143233143331144441111111,6,4,13,0.3076923076923077
2721,536xxxxxxx24x1xxxxx2x5xxxxxxxxxxxxxx3xxxxx4xxxxxxxxxx61xxxxxxxxx,5366666653244116532245165344451653433516534355165333561655555666,8,6,21,0.2857142857142857
2583,xx4xxx2xxx215x3xxx6xx1xxxxxx3xxxxxxxxxxxxxxxx6xxxxxxx5xxxxx4xxxx,4441112242215132426551324265333242655552426666524222255244442222,8,6,23,0.2608695652173913
3186,324xxx4xxx1xxxxxxxx3x2xx1xxxxxxxxxxxxxxxxxxxxxxxx,3244444322122233212322321232232223223333322222222,7,4,16,0.25
1219,xxxx2x3xxxx1xxxxx2xx1xxx3,2222223333211132221311113,5,3,8,0.375
2305,3xx3xxxx24xxxx67xxx8xxxxxxxx6xxxxxxxxxxx4xxxxxx5xxxxxxxxxxx1xxxxxx8x7xxx1xxxxxx52,333344442444446742886666742866777742877744442875555552877771152888877152111111152,9,8,27,0.2962962962962963
1204,31xx2xxxxx213xxxxxxxxxxxx,3111233312213122111222222,5,3,10,0.3
1296,x41xxxxxxxxx2x1xxxxx43x23,4411143331432314323343223,5,4,11,0.36363636363636365
401,51xx25xx436x2xxx14xxxx63x,5122251243612436144366633,5,6,10,0.6
3095,57xxxxxxxxxx3xx157xxxxx24xxxxx13xxxx2xxx6xxxx64xx,5777444555743411574341224434121333412166641116444,7,7,20,0.35
2853,xxx7xxxxxx2xx7532xxx4xxxxxxxxxx4xxxxxx6x1xxxxxxxxx6xxxxxxxx3xxx5xx1xxxxxxxxxxxxxx,111775555121175325124111325124441325126611325122666325112223325511122225555555555,9,7,32,0.21875
311,x42xxxxxxxxx1xx43xxx1xx32,4422243332431324313211132,5,4,9,0.4444444444444444
3089,2xxxxxxxx6xxxxxx3x7xxxx4xxxx251xxx4xxxx7x651xxxx3,2444444246666424337642443764251376455137665113333,7,7,17,0.4117647058823529
2359,xx1xx2x4xx3xxxxx1x3x42xxxxxxxxxxxxxx,111222144233114213314213311113333333,6,4,14,0.2857142857142857
75,xx15x5xx6xxxxx7x2xx633x7x1xxx42xx4xx,111555166777167727163327112224222444,6,7,17,0.4117647058823529
161,1xxxxxxxxx4134x2xx3x2xxxx,1111144441413412133121111,5,4,10,0.4
2870,2x6xx1xxx4xxxx5xxxx7x2xxxxxxxxx74xxx8xxxxxxxxxxx8x3xxxxxx1x6xxxx3xxx5xxxxxxxxxxxx,226661111422265551477266651447774651844444651888833651111136651133335551111111111,9,8,30,0.26666666666666666
2704,42xxxx54xxxx62xxxxxxxxxxx7xxxxxxxx3x65x1xx7xxxxxxxxxxx3x1xxxxxxx,4222225444446254333465543734654437346541377444413333333111111111,8,7,21,0.3333333333333333
387,xx1x5xxxx215x4x34x2xxxxx3,1115515552154423442233333,5,5,13,0.38461538461538464
1283,42xxxxxx3xxx2xxxxxx341xx1,4222243332432224333341111,5,4,8,0.5
3332,313524xxxxxxx1xxxxxxxxxx25xxxxxxxxx4,313524313524313524333524255524222224,6,5,10,0.5
1787,x345x32x4xxx5xx26xx61xxx1,3345532445225552666611111,5,6,12,0.5
1105,x46xxxx1123xx2xxxxx546xxx5xx3xxxxxxx,446666411236422236454636454636444666,6,6,13,0.46153846153846156
2628,7xxxxxxx1xx5x53x241xxxxxxxxx426xxxx3xxxx6xxxxxxxxxxxxxxxxxxxxxx7,7777777711155537241333372443426722434267624442676222226766666667,8,7,21,0.3333333333333333
2696,7xxxxxxx2xxxxxxx5xxxxxxxxxxx36xxxxx6xxxxx2xxxxxxxxx5xxx74xx413x1,7777777722111117521666175216361752163317521113175555131744441311,8,7,19,0.3684210526315789
2492,xxxx3x4xx4xxx31xxx2x21xxx,3333334444333312222121111,5,4,8,0.5
1635,13554xx42xxxx2xxxxxx1xxx3,1355413424134241344413333,5,5,8,0.625
2405,xxxxxx146x2xxx53xxxxxxx26xxxxxxxxxx5x34xxx1xxxxxx,4444441466224153662415326241532224153344411111111,7,6,17,0.35294117647058826
938,x4xxx6x6x5xxxx4325xxxxx1x2xxx1xxxxx3,446666466555444325333321322221333333,6,6,15,0.4
1803,6x3325x4xxxx6xx5124x1xxxx,6633256442566425124211222,5,6,12,0.5
2475,43xxxxx21x4x3xxxxxxx12xxx,4322243212433121111212222,5,4,10,0.4
1978,3366414xxxxxx2xxxxx5x7x1x7xxxxxxxx25,336641444441225551255751277755222225,6,7,16,0.4375
871,3x4xxx1x1x2xxxxxxxxx3xxx2xxxxxxxxxx4,334444131124133124113124211124222224,6,4,15,0.26666666666666666
54,1xxx53x5xxxxx3xxxxx6xx42x1xx476xx27x,155553153333133222166242116247666277,6,7,17,0.4117647058823529
889,2xx34x5xxxxx35xxxxxx1xxxx12xxxxxxxx4,222344552334352234311234312234333334,6,5,16,0.3125
2867,xxx8xxxx2xxx7x9xx9xx2xx3xxxxxxxxxx7xxx6xxxx5xxxxx4xxxxxx51xx1xxxxxx4xxxxxx863xxxx,888822222877729999872223333877777773866555553865544443865111143866644443888633333,9,9,25,0.36
2910,4xxxxxxx82xx1xxxx2xxx7xx8x6xxxxxx7xxx3xxxxxxxxxxx4xx5x6xxx31xxxxxxxxxx5xxxxxxxxxx,447777888247117822247717826244417726233411226223441256623331256622222256666666666,9,8,31,0.25806451612903225
2146,45xxxxxx6xxx5xxxx2xxxxxxxxxxxxx2xx41xxxx1xxx3xxxxxxxx7xxxx6xxxxxxxxxxxx7xxxxxxxx3,456666666456522222456521111456521441456511433456555437456665437455555437444444433,9,7,22,0.3181818181818182
2639,5xxxxxx37x3xx4x1xx4x1xx2xxxxxxxxxxxxxxxxxxxx67xx6xxxxxxx5x2xxxxx,5533333375344411754411127555555277777752666667526555555255222222,8,7,22,0.3181818181818182
1572,4xxxx3xx2xxx5x4xx15132xxx,4444432224325543215132111,5,5,10,0.5
1614,3xxx52xxx51xxx34xxxx4xx12,3333522235112334122241112,5,5,12,0.4166666666666667
79,3x32xx1xxx6xxx772xxxx6x1x4x4x5xxxxx5,333222166662167722166611144415111115,6,7,14,0.5
2524,xxxxxx13xx4x3xx2xxxxxxx2x4xx5xxxxx15,111222131242331242111442144455111115,6,5,17,0.29411764705882354
638,76x22x5x617x3xx5x4x14xxx3,7662275661753315543144433,5,7,13,0.5384615384615384
90,11xxxx74x66xxxx4xxx2xxxx27xx533xxxx5,114444744664777444227333277353333355,6,7,19,0.3684210526315789
