board_idx,InitialPuzzle,CompletePuzzle,BoardSize,ColorCount,NumberOfLines,v
0,xxx23x1xxxxx2xxxxxxx13xxx,2222321113222131111313333,5,3,9,0.3333333333333333
1,1xx13xxxxxx2xxxxxx3x2xxxx,1111333333322223333222222,5,3,8,0.375
135,xxxxxxxx31xx2x3xxx2xx1xxx,1111113331132231332311333,5,3,12,0.25
140,1xxx3xxxxxx12xxxxxxx23xxx,1111322213212132111323333,5,3,9,0.3333333333333333
141,1xxxxxxx3xxxx2xx2x3xxxx1x,1111133331322213233133311,5,3,10,0.3
150,313xxxxxxxxx2xxx21xxxxxxx,3133331113322133211333333,5,3,10,0.3
151,12xxxxxxxxxx3x2x1xx3xxxxx,1222211112333123111333333,5,3,10,0.3
152,x2331xxxxxxx2xxxxx1xxxxxx,2233121111212222111222222,5,3,10,0.3
153,2xx1233xxxxxxxxx1xxxxxxxx,2221233212222122111222222,5,3,9,0.3333333333333333
154,21x2xx3xxxxx3xxx1xxxxxxxx,2112223112233122111222222,5,3,11,0.2727272727272727
163,xxxxx31xxxxxxxxx12xx2xxx3,3333331113222132121321113,5,3,10,0.3
166,xxxxxx32xxxx3xxxxxxx121xx,1111113221133211222112111,5,3,10,0.3
169,x21xxxxx3xxx1xxxxx32xxxxx,2211123331231112333222222,5,3,10,0.3
170,23xx1xx2xxxx1xxx3xxxxxxxx,2333122231111311333111111,5,3,9,0.3333333333333333
172,x3213x1xxxxx2xxxxxxxxxxxx,3321331213312133111333333,5,3,8,0.375
193,xxxx2xx133xx2xxxxx1xxxxxx,2222221133212222111222222,5,3,9,0.3333333333333333
199,xxxxx3xxxx121xxxxx2x3xxxx,3333332223121231112333333,5,3,10,0.3
212,x23xxxxx1xxx3xxxxx12xxxxx,2233321113213332111222222,5,3,10,0.3
220,x2xxxxxx3xx1xxxx3x1xxxxx2,2211121131213312331122222,5,3,13,0.23076923076923078
248,xxx23xxx1xxx3xxxxxxxxxx21,2222321113213332111122221,5,3,9,0.3333333333333333
257,2xx3xx3xxxxx1xxx12xxxxxxx,2223333223311233122333333,5,3,12,0.25
269,xxx23xxxxxxx1xxxxx3x21xxx,2222323333231112333121111,5,3,9,0.3333333333333333
283,2xxxx3xx1xx1xxxx3xxxxxxx2,2222233312113121331211112,5,3,9,0.3333333333333333
289,xxxxxxxxxxx23xx13xxx2xxx1,1111112221123211332122221,5,3,9,0.3333333333333333
299,x1223xxxxxxx1xxxxx3xxxxxx,1122313333131111333111111,5,3,10,0.3
303,xxxxxx1x3xx21xxxxxxx32xxx,2222221132221323333232222,5,3,10,0.3
310,3xx12x2xxxxxxxxx31xxxxxxx,3331222312233122311222222,5,3,10,0.3
315,xxxxxxxxxx132xxxxxxx23xx1,1111113331132312223123331,5,3,10,0.3
